"地域等_番号","地域等_地域","区分","農産物の販売のあった経営体","農産物販売金額１位の_農　協","農産物販売金額１位の_農協以外の集出荷団体","農産物販売金額１位の_卸売市場","農産物販売金額１位の_小売業者","農産物販売金額１位の_食品製造業・外食産業","農産物販売金額１位の_消費者に直接販売","農産物販売金額１位の_その他"
"30.0","和歌山県","1.0","19337.0","10958.0","1455.0","2197.0","1141.0","866.0","1815.0","905.0"
"201.0","和歌山市","2.0","1992.0","785.0","115.0","172.0","360.0","8.0","304.0","248.0"
"202.0","海南市","3.0","1225.0","478.0","173.0","346.0","58.0","3.0","109.0","58.0"
"203.0","橋本市","4.0","944.0","604.0","22.0","18.0","51.0","7.0","169.0","73.0"
"204.0","有田市","5.0","858.0","471.0","106.0","245.0","16.0","-","17.0","3.0"
"205.0","御坊市","6.0","582.0","329.0","12.0","107.0","46.0","3.0","51.0","34.0"
"206.0","田辺市","7.0","1942.0","1261.0","97.0","198.0","101.0","104.0","100.0","81.0"
"207.0","新宮市","8.0","55.0","31.0","2.0","6.0","5.0","-","9.0","2.0"
"208.0","紀の川市","9.0","2844.0","2009.0","280.0","123.0","126.0","9.0","229.0","68.0"
"209.0","岩出市","10.0","453.0","196.0","17.0","14.0","62.0","3.0","113.0","48.0"
"304.0","紀美野町","11.0","376.0","225.0","33.0","28.0","31.0","4.0","31.0","24.0"
"341.0","かつらぎ町","12.0","1003.0","761.0","65.0","34.0","28.0","4.0","93.0","18.0"
"343.0","九度山町","13.0","253.0","230.0","6.0","4.0","2.0","-","9.0","2.0"
"344.0","高野町","14.0","23.0","7.0","5.0","5.0","-","-","4.0","2.0"
"361.0","湯浅町","15.0","343.0","78.0","103.0","131.0","16.0","1.0","8.0","6.0"
"362.0","広川町","16.0","340.0","158.0","37.0","82.0","16.0","2.0","20.0","25.0"
"366.0","有田川町","17.0","1929.0","1190.0","260.0","294.0","68.0","5.0","99.0","13.0"
"381.0","美浜町","18.0","95.0","53.0","7.0","12.0","8.0","-","12.0","3.0"
"382.0","日高町","19.0","367.0","183.0","14.0","41.0","25.0","1.0","93.0","10.0"
"383.0","由良町","20.0","174.0","142.0","2.0","8.0","8.0","-","5.0","9.0"
"390.0","印南町","21.0","665.0","456.0","12.0","126.0","16.0","8.0","24.0","23.0"
"391.0","みなべ町","22.0","1293.0","498.0","24.0","33.0","36.0","673.0","21.0","8.0"
"392.0","日高川町","23.0","648.0","382.0","28.0","101.0","27.0","2.0","64.0","44.0"
"401.0","白浜町","24.0","290.0","149.0","11.0","19.0","7.0","2.0","80.0","22.0"
"404.0","上富田町","25.0","333.0","186.0","8.0","28.0","14.0","12.0","50.0","35.0"
"406.0","すさみ町","26.0","71.0","41.0","-","2.0","4.0","1.0","15.0","8.0"
"421.0","那智勝浦町","27.0","98.0","21.0","12.0","9.0","6.0","3.0","35.0","12.0"
"422.0","太地町","28.0","4.0","-","-","-","-","-","3.0","1.0"
"424.0","古座川町","29.0","54.0","7.0","2.0","8.0","2.0","11.0","19.0","5.0"
"427.0","北山村","30.0","3.0","1.0","1.0","-","1.0","-","-","-"
"428.0","串本町","31.0","80.0","26.0","1.0","3.0","1.0","-","29.0","20.0"
