"地域等_番号","地域等_地域","区分","男女計","男女計_男","男女計_女","年齢階層別_15～29歳","年齢階層別_30～34","年齢階層別_35～39","年齢階層別_40～44","年齢階層別_45～49","年齢階層別_50～54","年齢階層別_55～59","年齢階層別_60～64","年齢階層別_65～69","年齢階層別_70～74","年齢階層別_75～79","年齢階層別_80～84","年齢階層別_85歳以上","平均年齢（歳）"
"30.0","和歌山県","1.0","37913.0","18671.0","19242.0","1298.0","643.0","967.0","1276.0","1486.0","2267.0","3188.0","5253.0","6177.0","5224.0","4627.0","3568.0","1939.0","64.4"
"201.0","和歌山市","2.0","3577.0","1694.0","1883.0","123.0","48.0","61.0","79.0","101.0","177.0","283.0","563.0","657.0","516.0","446.0","329.0","194.0","65.5"
"202.0","海南市","3.0","2511.0","1251.0","1260.0","84.0","27.0","68.0","90.0","95.0","157.0","206.0","367.0","416.0","367.0","303.0","232.0","99.0","64.2"
"203.0","橋本市","4.0","1793.0","851.0","942.0","76.0","20.0","25.0","42.0","39.0","70.0","122.0","247.0","334.0","254.0","260.0","172.0","132.0","66.3"
"204.0","有田市","5.0","1764.0","859.0","905.0","41.0","27.0","46.0","74.0","74.0","135.0","168.0","258.0","304.0","228.0","172.0","158.0","79.0","63.8"
"205.0","御坊市","6.0","1226.0","629.0","597.0","50.0","37.0","46.0","38.0","64.0","87.0","130.0","157.0","185.0","145.0","119.0","108.0","60.0","62.4"
"206.0","田辺市","7.0","4006.0","2018.0","1988.0","151.0","77.0","141.0","176.0","213.0","304.0","364.0","461.0","521.0","547.0","497.0","366.0","188.0","63.1"
"207.0","新宮市","8.0","92.0","54.0","38.0","-","-","-","3.0","4.0","1.0","4.0","8.0","18.0","21.0","15.0","9.0","9.0","70.7"
"208.0","紀の川市","9.0","5528.0","2662.0","2866.0","164.0","72.0","107.0","157.0","192.0","284.0","424.0","830.0","987.0","765.0","696.0","548.0","302.0","65.5"
"209.0","岩出市","10.0","829.0","382.0","447.0","34.0","10.0","14.0","27.0","22.0","37.0","64.0","123.0","150.0","123.0","108.0","66.0","51.0","65.1"
"304.0","紀美野町","11.0","669.0","336.0","333.0","11.0","1.0","4.0","14.0","12.0","22.0","42.0","81.0","108.0","96.0","108.0","106.0","64.0","70.1"
"341.0","かつらぎ町","12.0","1865.0","910.0","955.0","52.0","29.0","29.0","40.0","49.0","87.0","147.0","278.0","354.0","308.0","221.0","167.0","104.0","65.9"
"343.0","九度山町","13.0","469.0","231.0","238.0","13.0","6.0","4.0","11.0","14.0","29.0","28.0","67.0","88.0","55.0","70.0","55.0","29.0","66.7"
"344.0","高野町","14.0","58.0","27.0","31.0","1.0","-","2.0","2.0","1.0","3.0","-","5.0","10.0","13.0","12.0","7.0","2.0","68.4"
"361.0","湯浅町","15.0","864.0","431.0","433.0","53.0","40.0","37.0","52.0","43.0","77.0","109.0","111.0","110.0","74.0","74.0","65.0","19.0","58.4"
"362.0","広川町","16.0","774.0","381.0","393.0","19.0","21.0","32.0","43.0","39.0","58.0","75.0","110.0","137.0","84.0","77.0","49.0","30.0","61.7"
"366.0","有田川町","17.0","3867.0","1899.0","1968.0","146.0","75.0","89.0","123.0","197.0","263.0","354.0","501.0","556.0","533.0","486.0","365.0","179.0","63.8"
"381.0","美浜町","18.0","161.0","79.0","82.0","2.0","2.0","7.0","1.0","2.0","10.0","10.0","24.0","33.0","23.0","22.0","21.0","4.0","66.4"
"382.0","日高町","19.0","565.0","281.0","284.0","17.0","5.0","4.0","6.0","14.0","17.0","36.0","59.0","84.0","99.0","105.0","93.0","26.0","68.9"
"383.0","由良町","20.0","334.0","168.0","166.0","8.0","2.0","14.0","12.0","5.0","11.0","30.0","62.0","53.0","48.0","40.0","29.0","20.0","65.3"
"390.0","印南町","21.0","1315.0","661.0","654.0","37.0","28.0","38.0","53.0","71.0","87.0","156.0","166.0","207.0","172.0","142.0","103.0","55.0","62.9"
"391.0","みなべ町","22.0","2789.0","1398.0","1391.0","148.0","80.0","144.0","158.0","168.0","246.0","248.0","388.0","366.0","316.0","243.0","199.0","85.0","59.7"
"392.0","日高川町","23.0","1180.0","586.0","594.0","23.0","19.0","26.0","33.0","33.0","40.0","74.0","158.0","220.0","171.0","157.0","135.0","91.0","67.1"
"401.0","白浜町","24.0","493.0","262.0","231.0","16.0","5.0","5.0","7.0","6.0","16.0","26.0","62.0","84.0","87.0","79.0","57.0","43.0","68.6"
"404.0","上富田町","25.0","595.0","311.0","284.0","21.0","10.0","14.0","21.0","19.0","28.0","57.0","93.0","87.0","71.0","69.0","64.0","41.0","64.9"
"406.0","すさみ町","26.0","115.0","58.0","57.0","3.0","-","-","1.0","1.0","5.0","7.0","19.0","17.0","29.0","16.0","12.0","5.0","68.2"
"421.0","那智勝浦町","27.0","205.0","108.0","97.0","1.0","2.0","7.0","6.0","3.0","9.0","15.0","26.0","30.0","35.0","39.0","22.0","10.0","67.9"
"422.0","太地町","28.0","6.0","3.0","3.0","-","-","-","-","-","-","-","1.0","1.0","2.0","-","-","2.0","74.2"
"424.0","古座川町","29.0","111.0","60.0","51.0","2.0","-","1.0","3.0","2.0","5.0","5.0","8.0","25.0","16.0","19.0","18.0","7.0","69.5"
"427.0","北山村","30.0","7.0","3.0","4.0","-","-","-","1.0","-","-","-","-","-","2.0","2.0","2.0","-","71.6"
"428.0","串本町","31.0","145.0","78.0","67.0","2.0","-","2.0","3.0","3.0","2.0","4.0","20.0","35.0","24.0","30.0","11.0","9.0","69.0"
